No,S,T,Typology,FAR,Env_R,E_R,total_inh,n_total,lca_total,solar_sc,solar_au
112,3,13,4,3.461759,3,1,3320,44.22386666,13.50404627,0.590809221,0.282470754
113,4,12,4,2.200234,3,1,2196,45.57744067,12.35468933,0.657443414,0.354874254
114,3,12,4,2.200234,3,1,2566,44.47885549,12.43295391,0.503051468,0.306633932
115,4,11,4,2.711107,3,1,2462,44.91559391,13.96002641,0.757816867,0.312619954
116,3,11,4,2.711107,3,1,2832,46.07178736,14.19683257,0.671332168,0.282297136
117,4,10,3,3.098888,3,1,2688,43.52316445,12.31703143,0.676619918,0.331485004
118,3,10,3,3.098888,3,1,3106,44.75819444,12.5072364,0.564072555,0.292923217
119,4,9,3,2.406857,3,1,2240,48.32828648,12.43747576,0.730130661,0.334518071
120,3,9,3,2.406857,3,1,2688,46.95969547,12.466917,0.584734905,0.306796227
121,4,8,3,1.911589,3,1,1994,47.72449433,12.22126954,0.743835753,0.341683844
122,1,8,3,1.911589,3,1,2068,45.83494554,12.10701571,0.660511941,0.328599408
123,3,8,3,1.911589,3,1,2381,46.0169733,12.25843275,0.579238135,0.306238338
124,4,7,2,3.032621,3,1,2588,49.59354135,12.30909219,0.697966979,0.348444126
125,3,7,2,3.032621,3,1,3096,47.32877745,12.27144081,0.515619893,0.311790002
126,4,6,2,2.384204,3,1,2251,48.27062745,12.0642425,0.647632963,0.346618438
127,3,6,2,2.384204,3,1,2615,47.74487635,12.19354181,0.539792863,0.313243661
128,4,5,2,2.783806,3,1,2474,49.82440948,12.56194742,0.703443862,0.33792508
129,3,5,2,2.783806,3,1,2918,48.477694,12.59402026,0.539332409,0.305061143
130,4,4,1,4.457837,3,1,3308,46.44083119,16.41415298,0.956291549,0.203955936
131,3,4,1,4.457837,3,1,3983,42.20760625,16.14749203,0.812099218,0.220380871
132,4,3,1,5.610568,3,1,4062,44.37969534,14.3580731,0.946544974,0.213502137
133,3,3,1,5.610568,3,1,4767,39.94513871,14.08106452,0.789444736,0.219785827
134,4,2,1,3.531471,3,1,2837,43.76954494,15.8648852,0.929574208,0.243183593
135,3,2,1,3.531471,3,1,3372,43.17351294,15.89922401,0.776863648,0.232791655
136,2,1,7,0,1,2,994,61.63965894,4.873875213,0.433393815,0.288223388
137,1,1,7,0,1,2,1003,66.3154321,5.242365041,0.655499901,0.341187671
138,4,19,6,1.981873,1,2,2056,55.53706298,10.32216994,0.83116945,0.32182326
139,3,19,6,1.981873,1,2,2452,50.70009684,9.869540134,0.5500617,0.278433826
140,4,18,6,0.815402,1,2,1385,59.81605458,8.330634277,0.617076399,0.368368074
141,1,18,6,0.815402,1,2,1440,61.6709939,8.444895935,0.609206566,0.354275798
142,3,18,6,0.815402,1,2,1611,60.01709811,8.285859989,0.502180843,0.326235507
143,2,18,6,0.815402,1,2,1430,56.52249799,8.051231089,0.4134303,0.304959288
144,4,17,6,1.377649,1,2,1689,56.85128231,9.655129025,0.690330008,0.349924298
145,1,17,6,1.377649,1,2,1728,58.72925389,9.828919673,0.681468504,0.329985224
146,3,17,6,1.377649,1,2,1966,56.14480212,9.55178758,0.555580206,0.311887232
147,4,16,5,2.969017,1,2,2649,50.76942253,10.74223985,0.740175814,0.327081326
148,3,16,5,2.969017,1,2,3091,50.48920528,10.64657591,0.580229274,0.287424314
149,4,15,5,1.471673,1,2,1752,57.1810674,9.647070959,0.689068473,0.353079405
150,1,15,5,1.471673,1,2,1792,54.82251794,9.466666109,0.596367018,0.334149549
151,3,15,5,1.471673,1,2,2081,55.46960355,9.472242048,0.537271664,0.312059102
152,2,15,5,1.471673,1,2,1788,52.06879166,9.244790215,0.456419837,0.297584213
153,4,14,5,1.699608,1,2,1862,55.93200813,10.02845774,0.747947556,0.347066123
154,1,14,5,1.699608,1,2,1901,55.24995752,9.960590039,0.686161359,0.332588191
155,3,14,5,1.699608,1,2,2194,53.99560489,9.815950387,0.557034238,0.304093699
156,4,13,4,3.461759,1,2,2933,50.92004768,11.95483829,0.735439839,0.32486148
157,3,13,4,3.461759,1,2,3320,50.4465863,11.86460438,0.585295717,0.285973939
158,4,12,4,2.200234,1,2,2196,53.89455174,10.40966279,0.650574977,0.357964434
159,3,12,4,2.200234,1,2,2566,52.79466764,10.27602413,0.497886961,0.309634673
160,4,11,4,2.711107,1,2,2462,52.05047953,12.23568681,0.747182608,0.317666441
161,3,11,4,2.711107,1,2,2832,53.20986332,12.28444597,0.662596393,0.28682696
162,4,10,3,3.098888,1,2,2688,50.22048247,10.72925033,0.669926002,0.335120138
163,3,10,3,3.098888,1,2,3106,51.45952201,10.74646415,0.558839426,0.296326495
164,4,9,3,2.406857,1,2,2240,56.23573924,10.58710333,0.723978393,0.338663645
165,3,9,3,2.406857,1,2,2688,54.88105911,10.41659705,0.580050026,0.309991334
166,4,8,3,1.911589,1,2,1994,56.54738102,10.12477317,0.736779196,0.345771594
167,1,8,3,1.911589,1,2,2068,54.67618404,9.966189671,0.653456964,0.332329541
168,3,8,3,1.911589,1,2,2381,54.84700003,9.933531093,0.57489552,0.309433045
169,4,7,2,3.032621,1,2,2588,56.60506087,10.69912242,0.691542654,0.352701609
